passage_id,supporting_excerpt,relevance_explanation,company_applicability,temporal_status,recovery_claim_id,query_id,chunk_id,document_id,source_url,evidence_kind,already_extracted_for_query,source_text_path,current_legal_applicability,review_status,source_base_directory,resolved_source_text_path,manual_relevance_review,supports_requested_tariff_program
passage_b950880868cef07200aa0f4e,"Hyundai aims to increase US-assembled vehicle share from roughly 40% to more than 80% by 2030, while simultaneously increasing US supply chain content from approximately 60% to 80% to improve exposure profile and its cost structure.",This passage outlines a future goal (2030) to reduce exposure but does not provide current tariff data or specific supplier liability for the Georgia Metaplant ecosystem.,explicit_named_company_effect,source_reports_future,recovered_768bef2676708c02ca469474,q_32,chunk_60e62fd4319f30b58b9356db,document_bd9b4c999011c3e8830aa7ca,https://www.automotivemanufacturingsolutions.com/news/hyundai-commits-to-north-american-manufacturing-scale-with-36-new-models-localised-supply-chain/2640816,full_document,True,text/c7b003ec2eaa08d506efcdfece230b635ccc64693e0c9a3151ea34a74035e015.txt,not_established,locally_extracted_quote_validated_not_manually_verified,/home/sm11926/Certification_status/outputs/tariffs/pilot-2026-09-09,/home/sm11926/Certification_status/outputs/tariffs/pilot-2026-09-09/text/c7b003ec2eaa08d506efcdfece230b635ccc64693e0c9a3151ea34a74035e015.txt,,
passage_a15081566626b23897a434f6,"Savannah: -13% in cargo volume, disrupting East Coast parts distribution.",Indicates geographic impact but lacks specific supplier linkage.,not_established,proposal_or_uncertain,recovered_acf6e821014c54fdbb41de9e,q_442,chunk_20207f6767d220a4f86103f9,document_b8e4116cf9a88cc5171794bc,https://www.linkedin.com/posts/jcmillerjr_supplychain-tariffs-automotiveaftermarket-activity-7331644499019948033-WS6f,full_document,False,text/e6b7438e7d1b47c31f87f3cc770de8717cad448182db3dce492d30a1d982e3e4.txt,not_established,locally_extracted_quote_validated_not_manually_verified,/home/sm11926/Certification_status/outputs/tariffs/pilot-2026-09-09,/home/sm11926/Certification_status/outputs/tariffs/pilot-2026-09-09/text/e6b7438e7d1b47c31f87f3cc770de8717cad448182db3dce492d30a1d982e3e4.txt,,
passage_79591d67bcf2f0d2eb22e946,It is likely that every company operating in the vast automotive segment will be impacted by tariffs.,Generalizes impact without establishing specific Georgia supplier exposure.,not_established,proposal_or_uncertain,recovered_ca512cf1d062e208492e4ad8,q_442,chunk_f381003a7acc4265b0ffa5fe,document_5d510d029f27d48ffade2892,https://www.stout.com/en/insights/commentary/effect-tariffs-automotive-industry,full_document,False,text/fea226ff67b4a040c2d76d9f40dfcbd89a6a5b39a533179d40a76ec536fbbdf1.txt,not_established,locally_extracted_quote_validated_not_manually_verified,/home/sm11926/Certification_status/outputs/tariffs/pilot-2026-09-09,/home/sm11926/Certification_status/outputs/tariffs/pilot-2026-09-09/text/fea226ff67b4a040c2d76d9f40dfcbd89a6a5b39a533179d40a76ec536fbbdf1.txt,,
passage_bbb6a0c7121747238ad1445e,"In fact, in 2018, shortages of electronic components--multilayered ceramic chip capacitors, resistors, semiconductors, graphics cards--are growing as new markets and applications create surges in demand that mostly Asian manufacturers are unable to meet.",Historical data (2018) does not establish current 2026 applicability for component shortages.,not_established,proposal_or_uncertain,recovered_a749edece53cc2c149feb51d,q_442,chunk_a6a38524bff3b04544a0b122,document_03bbe90c34832e1434fed9ad,https://www.govinfo.gov/content/pkg/CHRG-115shrg40897/html/CHRG-115shrg40897.htm,full_document,False,text/f30925b8ea3be5dbaed17d934b11458b924bc6ea7a38f8269bbfb6d50c13a393.txt,not_established,locally_extracted_quote_validated_not_manually_verified,/home/sm11926/Certification_status/outputs/tariffs/pilot-2026-09-09,/home/sm11926/Certification_status/outputs/tariffs/pilot-2026-09-09/text/f30925b8ea3be5dbaed17d934b11458b924bc6ea7a38f8269bbfb6d50c13a393.txt,,
passage_979b4bc207c00a861ef891bc,An electronics assembly manufactured in Mexico does not automatically enter the United States duty-free.,Explains trade rules but fails to connect specific Georgia facilities or companies to tariff exposure.,not_established,proposal_or_uncertain,recovered_d757c07ac160ddb79bbf8242,q_442,chunk_3268a1e3e567297006f62d36,document_08f49fc2382e0fd108cba980,https://www.markzetter.com/usmca-rules-of-origin-and-automotive-electronics-tariff-implications-for-cross-border-sourcing,full_document,False,text/69f3dda80729099d1c44a150c0b73e1fd99cfeb457d8825e4cfde4f2d93c8011.txt,not_established,locally_extracted_quote_validated_not_manually_verified,/home/sm11926/Certification_status/outputs/tariffs/pilot-2026-09-09,/home/sm11926/Certification_status/outputs/tariffs/pilot-2026-09-09/text/69f3dda80729099d1c44a150c0b73e1fd99cfeb457d8825e4cfde4f2d93c8011.txt,,
passage_339f5161e9b73bdfd25d1385,"The US has repeatedly extended tariff exemptions for Chinese PCBs, but PCBs for military use will be restricted after 2027. Furthermore, if the US expands the scope of tariffs on semiconductor intermediate products, it could indirectly affect PCB companies through downstream demand.","This passage discusses tariffs on Chinese PCBs and potential future restrictions, which is irrelevant to South Korean automotive PCB assemblies and highlights the lack of specific evidence for the queried origin and product type.",national_or_sector_context,source_reports_future,recovered_c975aad8610cada49ce67368,q_160,chunk_307a6070b72809afb0b8b4e3,document_f54b0d22c62373a210da7794,https://www.topfastpcb.com/blog/how-u-s-tariffs-are-reshaping-the-global-printed-circuit-board-pcb-industry-landscape,full_document,False,text/69932d9b8683a419d759d82628a0d9056f88e89109cbb634c1dd58f0ef46a2e1.txt,not_established,locally_extracted_quote_validated_not_manually_verified,/home/sm11926/Certification_status/outputs/tariffs/pilot-2026-09-09,/home/sm11926/Certification_status/outputs/tariffs/pilot-2026-09-09/text/69932d9b8683a419d759d82628a0d9056f88e89109cbb634c1dd58f0ef46a2e1.txt,,
passage_2c43a9278d578d278a89970f,"This is in response to your request for a binding ruling dated August 14, 2020, on behalf of LG Electronics concerning the application of Section 301 trade remedy duties for your product: a rotor-stator assembly for an electric vehicle motor.","This passage references a specific company (LG Electronics) but concerns 'rotor-stator assemblies' for EV motors, not 'PCB assemblies', demonstrating that while company-specific rulings exist, they do not cover the queried product type.",explicit_named_company_effect,source_reports_historical,recovered_ea0edf1df682e746f46f47bf,q_160,chunk_887d813fba122c837001fbd6,document_7dc1196a443d152a83603b9f,https://www.customsmobile.com/rulings/docview?doc_id=H313371,full_document,False,text/aeb3cfd1a3b0786400a5803918e28d4fad9b047d57552e315f3f33d60ee32e44.txt,not_established,locally_extracted_quote_validated_not_manually_verified,/home/sm11926/Certification_status/outputs/tariffs/pilot-2026-09-09,/home/sm11926/Certification_status/outputs/tariffs/pilot-2026-09-09/text/aeb3cfd1a3b0786400a5803918e28d4fad9b047d57552e315f3f33d60ee32e44.txt,,
passage_f4800547088008598aca95c9,"ubstan-
tial transformation. For example, in Ferrostaal Metals
Corp. v. United States , the CIT found that a process
whereby raw steel sheets are subjected to an irrevers-
ible ‘‘continuous hot dip galvanizing’’ process that
transforms the hard steel into a more malleable product
changed the character of the steel sheets.",Establishes substantial transformation rules for galvanized steel affecting origin determination.,not_established,proposal_or_uncertain,recovered_1c245d37a6b6ce4cdee7f2ae,q_94,chunk_a6d6c6c138d33c290e159f6e,document_ff93bc75603028dd4c2b37d3,https://kpmg.com/kpmg-us/content/dam/kpmg/pdf/2022/bloomberg-insights-tariffs-origin-story%203-24-20.pdf,full_document,False,text/8351dc68eb03052e450525d5f677a8eadf2dc3a8f87cca7be5bbf5387b08191f.txt,not_established,locally_extracted_quote_validated_not_manually_verified,/home/sm11926/Certification_status/outputs/tariffs/pilot-2026-09-09,/home/sm11926/Certification_status/outputs/tariffs/pilot-2026-09-09/text/8351dc68eb03052e450525d5f677a8eadf2dc3a8f87cca7be5bbf5387b08191f.txt,,
passage_b082a07b132d96f9c814631a,"Also, consider two of CBP’s origin decisions concern-
ing passenger automobiles: in HQ H302821 (July 26,
2019), CBP determined that assembling five subassem-
blies together into an automobile in Sweden did not re-
sult in a substantial transformation, and that the origin
of the automobile was China for the purpose of apply-
ing Section 301 tariffs;",Illustrates complexity of origin determination for automotive components under trade measures.,not_established,proposal_or_uncertain,recovered_3aba1c879b4a4a75018e8ae9,q_94,chunk_ae6eb4b4fa630351cdfa4da8,document_ff93bc75603028dd4c2b37d3,https://kpmg.com/kpmg-us/content/dam/kpmg/pdf/2022/bloomberg-insights-tariffs-origin-story%203-24-20.pdf,full_document,False,text/8351dc68eb03052e450525d5f677a8eadf2dc3a8f87cca7be5bbf5387b08191f.txt,not_established,locally_extracted_quote_validated_not_manually_verified,/home/sm11926/Certification_status/outputs/tariffs/pilot-2026-09-09,/home/sm11926/Certification_status/outputs/tariffs/pilot-2026-09-09/text/8351dc68eb03052e450525d5f677a8eadf2dc3a8f87cca7be5bbf5387b08191f.txt,,
passage_cad1f116f9dcd8a8092ef35d,"Hot rolled steel is primarily used in appliances, automotive products, heavy machinery, machine parts, nonresidential construction and transportation equipment. A small portion is further processed into cold-rolled and galvanized or plated steel products.",Links hot-rolled duties to downstream galvanized products used in automotive sectors.,not_established,proposal_or_uncertain,recovered_d2d09d1bad3409d40963ed88,q_94,chunk_f26d113859c939411c5dfe6f,document_70fecebda88dd54a91df286e,https://usw.org/press-release/usw-praises-doc-for-duties-on-hot-rolled-steel-imports,full_document,False,text/d2ed2244949ee6b74738b5e3504a93e14a6fb07ff4beb13c46aacd6cf2bf4d56.txt,not_established,locally_extracted_quote_validated_not_manually_verified,/home/sm11926/Certification_status/outputs/tariffs/pilot-2026-09-09,/home/sm11926/Certification_status/outputs/tariffs/pilot-2026-09-09/text/d2ed2244949ee6b74738b5e3504a93e14a6fb07ff4beb13c46aacd6cf2bf4d56.txt,,
