id,failure_mode,cause,consequence,detection_method,mitigation,severity_1_5,likelihood_1_5,rpn,kill_criterion,phase
FM01,Premature 1-MCP release during manufacture,Aqueous coating or drying heat discharges the moisture-labile alpha-CD complex,Product ships with little or no payload; all downstream data invalid,Assay retained 1-MCP in finished insert vs mass added; mass balance,Non-aqueous or low-water binder (shellac/ethanolic); ambient-to-mild drying; measure retention at every process change,5,4,20,"Retention below 50 percent of charged 1-MCP after coating and drying, with no low-water route achieving better",1
FM02,Premature release during storage before use,Hygroscopic binder or inadequate overwrap admits moisture,No efficacy at point of use; unsellable,Timed storage study with periodic headspace assay vs unwrapped control,Barrier overwrap as a product component; low-hygroscopicity binder; desiccant if needed,5,4,20,"Payload loss materially degrades efficacy within a realistic warehouse window even in the intended overwrap",2
FM03,Release too fast (dumping) at package RH,Binder too permeable; coat weight too low; local condensation,Headspace spikes then falls; no protection through the storage period,Headspace GC time-course at the RH matrix,Increase coat weight; lower-permeability binder; moisture-control topcoat (Architecture B),4,4,16,"No binder/coat-weight combination extends release beyond a fraction of the required window",3
FM04,Release too slow or incomplete,Binder too impermeable; complex over-encapsulated,Effective headspace concentration never reached,Headspace GC; residual assay of spent insert,Reduce coat weight; more permeable binder; increase loading,4,3,12,Effective concentration unreachable at any practical loading,3
FM05,Trigger unreliable / no defined threshold,Release varies smoothly with RH instead of switching,"The core differentiator fails; product is ""a slow-release insert"", which is occupied ground",Release fraction vs RH curve; look for a step,Binder selection for sharp hydration response; threshold-forming layer,4,4,16,"Release vs RH is smooth and shallow across binders, i.e. no engineerable threshold exists",3
FM06,Dose not reproducible across packages,Sensitivity to package volume/fruit mass/temperature,"Cannot specify a dose; the differentiator collapses",Replicate headspace runs across a package-volume and fruit-mass matrix; report CV,Dose by area; specify inserts per unit volume; compensate via coat weight,5,3,15,"Replicate CV remains high after formulation optimisation, so no dose specification can be written",3
FM07,Temperature sensitivity across cold chain,Release kinetics strongly temperature dependent,Cold-chain excursion causes early dumping or under-dosing,Arrhenius series across the temperature matrix,Select binder with low activation energy for water transport; specify handling limits,4,4,16,Release differs so strongly between refrigerated and ambient that no single dose is safe,3
FM08,Uneven coating / coat-weight variation,Coating process variation,Dose varies insert to insert,Gravimetric coat weight per unit area; cross-sectional microscopy,Meyer-rod then slot-die; SPC on coat weight,3,3,9,Coat weight cannot be held within the tolerance the dose specification requires,5
FM09,Poor coating adhesion / dusting,Weak binder-to-paper bond,Active sheds into the package; contamination and dose loss,Tape/rub test; visual dust check,Binder with paper affinity; adjust pigment/binder ratio,3,2,6,Persistent shedding at any workable binder level,2
FM10,Off-odour or flavour taint (if EO added),Essential oil vapour at antimicrobial dose,Rejected by buyers; commercially fatal,Triangle test sensory panel with untrained and trained panellists,Defer EO to v2; separate outer layer; dose below sensory threshold,5,3,15,Sensory panel detects taint at the minimum effective antimicrobial dose,4
FM11,Essential oil accelerates 1-MCP release,Oil plasticises the layer and raises water-vapour permeability,Antimicrobial function degrades the primary function,Compare release curves with and without EO,Spatial separation (bilayer); omit EO in v1,4,3,12,EO cannot be included without materially degrading 1-MCP control,4
FM12,Guest competition in cyclodextrin,EO displaces 1-MCP from CD cavities,Loss of payload,Assay 1-MCP retention in complex with and without EO contact,Use alpha-CD (small cavity); keep EO in a separate layer and separate CD,3,2,6,Measurable displacement that separation cannot prevent,4
FM13,Regulatory pathway blocked or slow,New delivery format requires registration action; crop-specific labels,No route to market regardless of technical success,Early pre-submission consultation with EPA and a regulatory consultant,Engage specialists in Phase 1; design to an existing registered format where possible,5,3,15,Regulatory counsel advises a new registration with cost/time beyond project resources,6
FM14,Patent overlap blocks commercialisation,Cellresin/Kimberly-Clark coated-substrate and laminate claims; Vidre+ delayed-release claims,Cannot commercialise; possible infringement exposure,Claim-by-claim review by patent counsel; updated FTO search,Avoid second-substrate laminate; differentiate on specification not format,5,4,20,Counsel finds no practicable design-around of a blocking claim,6
FM15,Cost uncompetitive vs incumbents,Complex-grade cyclodextrin and low volume,No commercial case even if it works,Cost model with sensitivity to volume,Minimise materials; use commodity binder and paper; design for existing lines,4,3,12,Modelled cost per insert exceeds incumbent consumables at realistic volume with no path down,6
FM16,Microbial efficacy insufficient (if EO added),Vapour concentration below MIC in real package,Antimicrobial claim unsupportable,In-package challenge testing against target organism,Raise dose (bounded by sensory); reconsider EO choice,3,3,9,No dose satisfies both MIC and sensory acceptability,4
FM17,Scale-up fails from lab to roll-to-roll,Lab casting has no industrial analogue; line speed and drying differ,Cannot manufacture at cost,Pilot trial on Meyer-rod then slot-die; compare release curves lab vs pilot,Choose a lab method with an industrial analogue from the start,4,3,12,Pilot-coated material cannot reproduce lab release behaviour,5
FM18,Active migration into food,Direct or indirect contact transfer,Food-safety and compliance failure,Migration testing to the relevant food-contact protocol,Non-contact insert; barrier layer; formal migration study,4,2,8,Migration exceeds permitted limits and cannot be engineered out,4
FM19,Analytical method not fit for purpose,No bottled 1-MCP standard; sampling depletes headspace,Every release number is wrong; conclusions unsafe,Calibration with mass balance; sacrificial-vial sampling; blanks and leak tests,Sacrificial vials; document LOD/LOQ; GC-MS confirmation of peak identity,5,3,15,Calibration cannot be established with acceptable accuracy,1
FM20,Binder or paper emits interfering volatiles,Coating and substrate off-gassing,False positives in release measurement,Blank inserts (no complex) on every GC run,Screen substrates and binders for clean chromatograms early,3,3,9,No clean substrate/binder combination available,1
