claim_id,sample_id,clear_fields,set_fields,audit_flags,audit_verdict,reason,current_applicability_verified,record_version,old_fields,new_fields,source_url,chunk_id
claim_3588189eba2869aab66108d1,S01,"[""origin_rules""]",{},"[""origin_rule_inferred_from_operations""]",field_misclassification,"The quote supports company operations in Florida and China, not a legal origin rule. Congressional testimony is not a current tariff determination.",False,quality-v1-2026-09-10,"{""origin_rules"": ""wholly-owned facility in China assembles, tests custom packages""}","{""origin_rules"": null}",https://www.govinfo.gov/content/pkg/CHRG-115shrg40897/html/CHRG-115shrg40897.htm,chunk_3ba4a2105d34faa95fd244ff
claim_5bb5979ca2a13f54f873cd53,S02,"[""duty_rate""]",{},"[""hypothetical_example"", ""off_sector_product""]",illustrative_example_not_sector_evidence,CBP explicitly labels this as a hypothetical pasta entry-reporting example. It is not an observed automotive import or an automotive duty rate.,False,quality-v1-2026-09-10,"{""duty_rate"": ""not subject to AD/CVD""}","{""duty_rate"": null}",https://www.cbp.gov/trade/priority-issues/adcvd/antidumping-and-countervailing-duties-adcvd-frequently-asked-questions,chunk_2243e2a372e9b7a8f0920042
claim_14b1b00ad91b49712aff9830,S03,[],{},"[""snippet_only"", ""not_company_specific""]",supported_context_only,"The official Georgia snippet supports a statewide industry description. Vehicle assembly is a process, and the text does not identify a specific company import or tariff effect.",False,quality-v1-2026-09-10,{},{},https://georgia.org/industries/automotive,chunk_d49077057bd598bd62183fcd
claim_353d89efd7adcebbe0541e19,S04,"[""effective_date""]","{""conditions"": {""value"": ""effective for automobiles on April 3, 2025, and no later than May 3, 2025, for auto parts."", ""excerpt"": ""effective for automobiles on April 3, 2025, and no later than May 3, 2025, for auto parts.""}}","[""different_product_effective_dates""]",date_scope_conflation,The timeline distinguishes automobiles effective April 3 from parts no later than May 3. One effective_date for the combined product field loses that distinction.,False,quality-v1-2026-09-10,"{""effective_date"": ""April 3, 2025"", ""conditions"": null}","{""effective_date"": null, ""conditions"": ""effective for automobiles on April 3, 2025, and no later than May 3, 2025, for auto parts.""}",https://www.chrobinson.com/en-us/resources/insights-and-advisories/trade-tariff-insights/tariff-timeline,chunk_ee88aef1f8394205ee85e26c
claim_a747f2abc6e0ddef00c8097f,S05,"[""tariff_program""]",{},"[""export_control_not_import_tariff""]",measure_type_misclassification,"The source describes export licensing restrictions, not an import tariff program. The source analysis may explain supply risk but does not establish a Georgia company effect.",False,quality-v1-2026-09-10,"{""tariff_program"": ""export restrictions""}","{""tariff_program"": null}",https://www.csis.org/analysis/consequences-chinas-new-rare-earths-export-restrictions,chunk_6e370b0945fc544e94af0497
claim_9fb99c7c70ac82b6e3450954,S06,"[""company""]",{},"[""generic_company_identity"", ""outside_georgia""]",generic_entity_not_named_company,The quote reports a category of German OEMs in Hungary. It establishes no named supplier-OEM relationship or Georgia link.,False,quality-v1-2026-09-10,"{""company"": ""German original equipment manufacturers""}","{""company"": null}",https://www.oxfordenergy.org/wpcms/wp-content/uploads/2025/04/OEF-144.pdf,chunk_6b4739a724f726688a27a3e4
claim_6dcf629e893c3bdf604789d9,S07,"[""country""]",{},"[""mixed_facilities"", ""country_from_other_facility""]",facility_country_conflation,"The statement lists two factories; the extracted facility/city/state are Torrance, California while country=China refers to Huizhou. The combined facility record is unsupported.",False,quality-v1-2026-09-10,"{""country"": ""China""}","{""country"": null}",https://www.totexmfg.com/battery-pack-tariffs-oem-2026,chunk_d625c75d6d3fc6f5cf2f6a0a
claim_095a8f42ed407543ce11f34c,S08,"[""duty_rate""]",{},"[""no_numeric_rate_in_quote""]",rate_type_misclassification,The official amendment excerpt supports additional ad valorem duties and exceptions but gives no numeric duty rate. A phrase describing a rate type was stored as duty_rate.,False,quality-v1-2026-09-10,"{""duty_rate"": ""additional ad valorem rates of duty""}","{""duty_rate"": null}",https://www.whitehouse.gov/presidential-actions/2025/07/adjusting-imports-of-copper-into-the-united-states,chunk_5f11343d190d5b020722bfa2
claim_2640566dc8a526e3a8ecae6f,S09,[],{},"[""relative_announcement_date"", ""snippet_only"", ""current_status_unverified""]",supported_historical_report_only,"The snippet reports a 25% announcement but lacks an absolute date, precise legal instrument and full scope. It cannot establish the current steel/aluminum duty.",False,quality-v1-2026-09-10,{},{},https://www.wardsauto.com/news/archive-auto-tariffs-trump-steel-aluminum-automotive/739872,chunk_50e8e9edc9d1b57e29331997
claim_40916635884075aea902bc06,S10,"[""effective_date""]",{},"[""page_update_not_effective_date""]",update_date_misclassified,"The source says Updated 6/26/2025. That is a FAQ update stamp, not the legal effective date of the entry-for-consumption condition.",False,quality-v1-2026-09-10,"{""effective_date"": ""6/26/2025""}","{""effective_date"": null}",https://www.cbp.gov/trade/programs-administration/entry-summary/232-tariffs-aluminum-and-steel-faqs,chunk_5a80266b0a024b1d4b5adce2
claim_40367482e14635a8c9bc635d,S11,"[""effective_date""]",{},"[""forecast_not_observation"", ""forecast_year_not_effective_date"", ""off_sector_context""]",forecast_year_misclassified,"The source projects 2024 battery imports in a vendor marketing section. The year is a forecast period, not a tariff effective date; the quote is not metals-specific tariff evidence.",False,quality-v1-2026-09-10,"{""effective_date"": ""2024""}","{""effective_date"": null}",https://manlybattery.com/battery-tools-and-resources/usa-import-duty-calculator,chunk_4429ed3e0fea61f7656e476b
claim_2d1c97863452245b08392cc9,S12,[],{},"[""off_sector_automotive_context"", ""snippet_only"", ""conditional_rate""]",supported_historical_report_only,The snippet supports a conditional Japan automotive rate report and an MFN threshold. It does not establish a metals tariff or any Georgia company applicability.,False,quality-v1-2026-09-10,{},{},https://www.internationaltradeinsights.com/2025/09/japanese-tariff-reductions-to-begin-september-16-2025,chunk_02554bcda88b26a5d82c745e
claim_c01f7929b1042ca9556bb3e7,S13,[],{},"[""source_inference_or_opinion"", ""outside_georgia""]",source_opinion_not_exposure,The named Malawi project is presented as a diversification opportunity. This is investment analysis rather than evidence of actual Georgia sourcing or tariff exposure.,False,quality-v1-2026-09-10,{},{},https://www.cruxinvestor.com/posts/chinas-temporary-easing-of-graphite-export-controls-the-shifting-global-supply-outlook-for-battery-materials,chunk_1ba2ded3a328859acbd8b2c3
claim_d501d724c945858bb02aa47f,S14,[],{},"[""product_scope_not_established"", ""historical_amendment""]",supported_amendment_limited_scope,"The official excerpt supports deletion of named subheadings on September 27, 2024. No product name, resulting rate, or battery-company applicability is stated in the sampled amendment item.",False,quality-v1-2026-09-10,{},{},https://ustr.gov/sites/default/files/Section%20301%20Modifications%20Determination%20FRN%20(Sept%2012%202024)%20(FINAL).pdf,chunk_29c902f5618430b10f0ad7ed
claim_5c712fbfbbab89fbce343db2,S15,"[""origin_rules""]","{""legal_authority"": {""value"": ""19 U.S.C. 1304"", ""excerpt"": ""in accordance with the requirements of 19 U.S.C. 1304""}, ""conditions"": {""value"": ""assuming 19 CFR 102.13 is not applicable"", ""excerpt"": ""assuming 19 CFR 102.13 is not applicable""}}","[""marking_vs_origin_determination"", ""conditional_ruling"", ""snippet_only""]",marking_authority_not_origin_test,"The conditional ruling excerpt concerns packaging origin marking. 19 U.S.C. 1304 is cited as the marking authority, not a standalone test establishing a battery origin or a current duty.",False,quality-v1-2026-09-10,"{""origin_rules"": ""19 U.S.C. 1304"", ""legal_authority"": null, ""conditions"": null}","{""origin_rules"": null, ""legal_authority"": ""19 U.S.C. 1304"", ""conditions"": ""assuming 19 CFR 102.13 is not applicable""}",https://rulings.cbp.gov/ruling/559032,chunk_1e29c11796707a7f17168ae2
claim_a855d187b96d0d2cfe419010,S16,[],{},"[""tariff_components_ambiguous"", ""current_status_unverified"", ""do_not_use_as_total_duty""]",requires_authority_verification,"The surrounding article juxtaposes preliminary antidumping duties and a tariff truce, then says the tariff fell to 30%. It does not establish which components changed or a total applicable graphite duty. Preserve the quote but quarantine it for rate/application decisions.",False,quality-v1-2026-09-10,{},{},https://www.automotivelogistics.media/supply-chain/tariff-analysis-deep-dive-the-most-important-changes-for-the-auto-industry/663875,chunk_f3ccfe227af4fcf53abe2616
claim_1a5f4568e3afde1a30039a15,S17,[],"{""company"": {""value"": ""Ascend Elements"", ""excerpt"": ""owned by Massachusetts-based Ascend Elements""}, ""facility"": {""value"": ""recycling facility in Covington, Georgia"", ""excerpt"": ""In a recycling facility in Covington, Georgia""}, ""city"": {""value"": ""Covington"", ""excerpt"": ""In a recycling facility in Covington, Georgia""}, ""state"": {""value"": ""Georgia"", ""excerpt"": ""In a recycling facility in Covington, Georgia""}}","[""statewide_not_southeast_georgia"", ""tariff_causality_not_established""]",supported_operations_with_context_enrichment,"The quoted historical black-mass exports are supported. Adjacent text names the owner Ascend Elements and locates the plant in Covington, Georgia; this is statewide context, not a confirmed Southeast Georgia tariff exposure.",False,quality-v1-2026-09-10,"{""company"": null, ""facility"": null, ""city"": null, ""state"": null}","{""company"": ""Ascend Elements"", ""facility"": ""recycling facility in Covington, Georgia"", ""city"": ""Covington"", ""state"": ""Georgia""}",https://grist.org/technology/trump-battery-recycling-lithium-grants-funding-tariffs-ira-tax-credits,chunk_b242f51333f553004ad7abed
claim_feaff40cbf9d03ab10385e09,S18,"[""tariff_program"", ""duty_rate"", ""rate_type""]","{""hts_code"": {""value"": ""8704.60.00"", ""excerpt"": ""8704.60.00 | 00 | Other, with only electric motor for propulsion""}}","[""flattened_tariff_columns"", ""missing_headers_and_conditions"", ""off_sector_vehicle_row""]",tariff_table_columns_conflated,"The snippet flattens general and special tariff columns. Free and 25% are conditional entries, not a single rate/type/program. The quoted row is 8704.60.00 despite the different query parameter in the URL.",False,quality-v1-2026-09-10,"{""tariff_program"": ""Free (A+, AU, B, BH, CL, CO, D, E, IL, JO, MA, OM, P, PA, PE, S, SG)"", ""duty_rate"": ""25%"", ""rate_type"": ""Free"", ""hts_code"": null}","{""tariff_program"": null, ""duty_rate"": null, ""rate_type"": null, ""hts_code"": ""8704.60.00""}",https://hts.usitc.gov/search?query=8711.60.00.90,chunk_a9624c31f84ad7ec02dc606f
claim_ee0ecda05c1e3aff0131d5b2,S19,"[""investment_effect""]",{},"[""aggregate_vs_facility_scope"", ""investment_precedes_announcement"", ""off_sector_automotive_context""]",company_facility_scope_and_causality_unresolved,"The paragraph blends a national $21 billion commitment with a Georgia facility and aggregate capacity/jobs figures. The investment preceded the tariff announcement, so timing alone does not prove tariff causation. Cached reporting separately gives 500,000 vehicles for the Georgia factory, requiring scope/date reconciliation.",False,quality-v1-2026-09-10,"{""investment_effect"": ""$21 billion investment through 2028""}","{""investment_effect"": null}",https://www.automotivelogistics.media/supply-chain/automotive-logistics-and-supply-chains-in-2025-tariff-turmoil-investment-uncertainty-and-further-cost-pressures/649740,chunk_6bb594047515ea6015be7937
claim_39964e1ae7ee90db27e81ed5,S20,"[""origin_rules""]","{""effective_date"": {""value"": ""September 24, 2018"", ""excerpt"": ""Effective September 24, 2018""}}","[""same_source_later_rate_change"", ""origin_scope_not_origin_test""]",historical_rate_with_missing_transition,"The official paragraph records the September 2018 additional 10% duty, but the very next sentence says it increased to 25% in May 2019. It supports history, not a current 10% rate. Goods of China states geographic scope rather than an origin-determination rule.",False,quality-v1-2026-09-10,"{""origin_rules"": ""goods of China"", ""effective_date"": null}","{""origin_rules"": null, ""effective_date"": ""September 24, 2018""}",https://www.federalregister.gov/documents/2020/02/20/2020-03377/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer,chunk_5354e17bedd406b9a52d7e63
claim_bb42e868d723725a516e8937,S21,"[""hts_code""]",{},"[""foreign_or_unspecified_hs_jurisdiction"", ""snippet_only""]",unspecified_foreign_hs_not_us_hts,A trade-data snippet labels an HS code without establishing US HTS jurisdiction. It cannot support US-specific tariff classification or duty applicability for a Georgia company.,False,quality-v1-2026-09-10,"{""hts_code"": ""85049090""}","{""hts_code"": null}",https://www.zauba.com/import-INVERTER+PCB+ASSY/hs-code-85049090-hs-code.html,chunk_874efd4486598d7f37b973e5
claim_34b9e02f9e757fa64ec1c88a,S22,"[""company"", ""effective_date""]","{""rate_type"": {""value"": ""no less than"", ""excerpt"": ""no less than 25 percent""}}","[""government_body_not_company"", ""proposed_minimum_not_final_rate"", ""off_sector_facemasks""]",agency_as_company_and_proposal_as_rate,"USTR is a government body, not a company. The excerpt describes a direction for no less than 25% and ensuing proposals for facemasks; it is not a final electronics rate or an exact effective date.",False,quality-v1-2026-09-10,"{""company"": ""U.S. Trade Representative"", ""effective_date"": ""2024"", ""rate_type"": null}","{""company"": null, ""effective_date"": null, ""rate_type"": ""no less than""}",https://www.federalregister.gov/documents/2024/09/18/2024-21217/notice-of-modification-chinas-acts-policies-and-practices-related-to-technology-transfer,chunk_f920e269de67d8043fa3f8ca
claim_9fcfae8a48fedb34512a2b1a,S23,"[""company""]",{},"[""government_body_not_company"", ""social_media_source"", ""stacking_not_verified""]",agency_as_company_and_secondary_rate_claim,"The White House is cited as a source, not an exposed company. The LinkedIn post reports a PCB duty component and makes stacking assertions; it is secondary evidence needing the underlying authority and dated scope.",False,quality-v1-2026-09-10,"{""company"": ""White House""}","{""company"": null}",https://www.linkedin.com/posts/greg-papandrew-5025834_%F0%9D%97%A7%F0%9D%97%94%F0%9D%97%A5%F0%9D%97%9C%F0%9D%97%99%F0%9D%97%99-%F0%9D%97%A8%F0%9D%97%A3%F0%9D%97%97%F0%9D%97%94%F0%9D%97%A7%F0%9D%97%98-%F0%9D%97%A6%F0%9D%97%A2%F0%9D%97%9F%F0%9D%97%A8%F0%9D%97%A7%F0%9D%97%9C%F0%9D%97%A2%F0%9D%97%A1-activity-7302659128592617473-FCFp,chunk_cbd1179e7fea1bc79e4ee02e
claim_43a70c938e25ba42a43faf2d,S24,[],{},"[""off_sector_aircraft_product"", ""product_relevance_not_established""]",supported_row_off_sector,"The official table row is explicitly labeled Aircraft and describes plastic tubes. The source quotation is supported, but it does not establish PCB/electronics applicability.",False,quality-v1-2026-09-10,{},{},https://ustr.gov/sites/default/files/files/Press/Releases/2026/FLIP%20301%20Investigation%20Final%20Action%20FRN%207-23-26%20FINAL.pdf,chunk_64693ea127e6637eb6bef5d4
claim_09d6e4bfcbb4091b5bb03117,S25,[],"{""facility"": {""value"": ""manufacturing facility in Vietnam"", ""excerpt"": ""manufacturing facility in Vietnam""}, ""country"": {""value"": ""Vietnam"", ""excerpt"": ""manufacturing facility in Vietnam""}}","[""company_self_report"", ""no_georgia_relationship"", ""duty_savings_unverified""]",supported_company_mitigation_with_location_correction,"The company announces manufacturing in Vietnam and says it offers a non-China option to avoid high tariffs. This is a source-claimed mitigation strategy, not verified duty savings or a Georgia supplier link; Vietnam alone should not be the facility name.",False,quality-v1-2026-09-10,"{""facility"": ""Vietnam"", ""country"": null}","{""facility"": ""manufacturing facility in Vietnam"", ""country"": ""Vietnam""}",https://microtipsusa.com/navigating-u-s-tariffs-understanding-monitoring-and-minimizing-risk-for-tft-lcd-display-imports-from-china,chunk_ade58d78811a984ffb6e1b9d
claim_4f2f9bd47ddfc6d846fe8e7f,S26,[],{},"[""off_sector_civil_aircraft_clause"", ""date_requires_product_scope""]",date_attached_to_wrong_sector_context,"The official September 16, 2025 clause introduces civil-aircraft exclusions in the following text. It is not evidence that a display tariff took effect on that date.",False,quality-v1-2026-09-10,{},{},https://www.federalregister.gov/documents/2025/09/16/2025-17908/implementing-certain-tariff-related-elements-of-the-united-states-japan-agreement,chunk_7d536b46518f464c700eed09
claim_939beed30f9d23998cbc3b2e,S27,[],{},"[""off_sector_general_auto_parts"", ""snippet_only"", ""scope_exceptions""]",supported_historical_report_only,"The snippet describes autos and selected auto parts generally, with a later parts start date and USMCA exceptions in context. It does not identify displays or a specific manufacturer import.",False,quality-v1-2026-09-10,{},{},https://www.cars.com/articles/how-trumps-proposed-25-tariffs-on-automobiles-automotive-parts-will-affect-you-506395,chunk_39b09d875974f48e1b1af554
claim_93b77e471e6e89244a0b1a88,S28,"[""effective_date"", ""reported_policy_status""]",{},"[""relative_date"", ""status_refers_to_previous_rate"", ""truncated_video_snippet""]",relative_date_and_status_reference_error,"Now is not an effective date. In this truncated snippet, implemented modifies the former 25% tariff, not necessarily the new 15% rate; the structured status transfers that modifier to the wrong rate.",False,quality-v1-2026-09-10,"{""effective_date"": ""now"", ""reported_policy_status"": ""implemented""}","{""effective_date"": null, ""reported_policy_status"": null}",https://www.youtube.com/watch?v=0trOeEANSKs,chunk_796b07c3d69c1807e5df8ae1
