claim_id,sample_id,clear_fields,set_fields,audit_flags,audit_verdict,reason,current_applicability_verified,record_version,old_fields,new_fields,source_url,chunk_id,finding_status
claim_3588189eba2869aab66108d1,S01,"[""origin_rules""]",{},"[""origin_rule_inferred_from_operations""]",field_misclassification,"The quote supports company operations in Florida and China, not a legal origin rule. Congressional testimony is not a current tariff determination.",False,quality-v1-2026-09-10,"{""origin_rules"": ""wholly-owned facility in China assembles, tests custom packages""}","{""origin_rules"": null}",https://www.govinfo.gov/content/pkg/CHRG-115shrg40897/html/CHRG-115shrg40897.htm,chunk_3ba4a2105d34faa95fd244ff,manually_identified_unsupported_or_misclassified_fields
claim_5bb5979ca2a13f54f873cd53,S02,"[""duty_rate""]",{},"[""hypothetical_example"", ""off_sector_product""]",illustrative_example_not_sector_evidence,CBP explicitly labels this as a hypothetical pasta entry-reporting example. It is not an observed automotive import or an automotive duty rate.,False,quality-v1-2026-09-10,"{""duty_rate"": ""not subject to AD/CVD""}","{""duty_rate"": null}",https://www.cbp.gov/trade/priority-issues/adcvd/antidumping-and-countervailing-duties-adcvd-frequently-asked-questions,chunk_2243e2a372e9b7a8f0920042,manually_identified_unsupported_or_misclassified_fields
claim_353d89efd7adcebbe0541e19,S04,"[""effective_date""]","{""conditions"": {""value"": ""effective for automobiles on April 3, 2025, and no later than May 3, 2025, for auto parts."", ""excerpt"": ""effective for automobiles on April 3, 2025, and no later than May 3, 2025, for auto parts.""}}","[""different_product_effective_dates""]",date_scope_conflation,The timeline distinguishes automobiles effective April 3 from parts no later than May 3. One effective_date for the combined product field loses that distinction.,False,quality-v1-2026-09-10,"{""effective_date"": ""April 3, 2025"", ""conditions"": null}","{""effective_date"": null, ""conditions"": ""effective for automobiles on April 3, 2025, and no later than May 3, 2025, for auto parts.""}",https://www.chrobinson.com/en-us/resources/insights-and-advisories/trade-tariff-insights/tariff-timeline,chunk_ee88aef1f8394205ee85e26c,manually_identified_unsupported_or_misclassified_fields
claim_a747f2abc6e0ddef00c8097f,S05,"[""tariff_program""]",{},"[""export_control_not_import_tariff""]",measure_type_misclassification,"The source describes export licensing restrictions, not an import tariff program. The source analysis may explain supply risk but does not establish a Georgia company effect.",False,quality-v1-2026-09-10,"{""tariff_program"": ""export restrictions""}","{""tariff_program"": null}",https://www.csis.org/analysis/consequences-chinas-new-rare-earths-export-restrictions,chunk_6e370b0945fc544e94af0497,manually_identified_unsupported_or_misclassified_fields
claim_9fb99c7c70ac82b6e3450954,S06,"[""company""]",{},"[""generic_company_identity"", ""outside_georgia""]",generic_entity_not_named_company,The quote reports a category of German OEMs in Hungary. It establishes no named supplier-OEM relationship or Georgia link.,False,quality-v1-2026-09-10,"{""company"": ""German original equipment manufacturers""}","{""company"": null}",https://www.oxfordenergy.org/wpcms/wp-content/uploads/2025/04/OEF-144.pdf,chunk_6b4739a724f726688a27a3e4,manually_identified_unsupported_or_misclassified_fields
claim_6dcf629e893c3bdf604789d9,S07,"[""country""]",{},"[""mixed_facilities"", ""country_from_other_facility""]",facility_country_conflation,"The statement lists two factories; the extracted facility/city/state are Torrance, California while country=China refers to Huizhou. The combined facility record is unsupported.",False,quality-v1-2026-09-10,"{""country"": ""China""}","{""country"": null}",https://www.totexmfg.com/battery-pack-tariffs-oem-2026,chunk_d625c75d6d3fc6f5cf2f6a0a,manually_identified_unsupported_or_misclassified_fields
claim_095a8f42ed407543ce11f34c,S08,"[""duty_rate""]",{},"[""no_numeric_rate_in_quote""]",rate_type_misclassification,The official amendment excerpt supports additional ad valorem duties and exceptions but gives no numeric duty rate. A phrase describing a rate type was stored as duty_rate.,False,quality-v1-2026-09-10,"{""duty_rate"": ""additional ad valorem rates of duty""}","{""duty_rate"": null}",https://www.whitehouse.gov/presidential-actions/2025/07/adjusting-imports-of-copper-into-the-united-states,chunk_5f11343d190d5b020722bfa2,manually_identified_unsupported_or_misclassified_fields
claim_40916635884075aea902bc06,S10,"[""effective_date""]",{},"[""page_update_not_effective_date""]",update_date_misclassified,"The source says Updated 6/26/2025. That is a FAQ update stamp, not the legal effective date of the entry-for-consumption condition.",False,quality-v1-2026-09-10,"{""effective_date"": ""6/26/2025""}","{""effective_date"": null}",https://www.cbp.gov/trade/programs-administration/entry-summary/232-tariffs-aluminum-and-steel-faqs,chunk_5a80266b0a024b1d4b5adce2,manually_identified_unsupported_or_misclassified_fields
claim_40367482e14635a8c9bc635d,S11,"[""effective_date""]",{},"[""forecast_not_observation"", ""forecast_year_not_effective_date"", ""off_sector_context""]",forecast_year_misclassified,"The source projects 2024 battery imports in a vendor marketing section. The year is a forecast period, not a tariff effective date; the quote is not metals-specific tariff evidence.",False,quality-v1-2026-09-10,"{""effective_date"": ""2024""}","{""effective_date"": null}",https://manlybattery.com/battery-tools-and-resources/usa-import-duty-calculator,chunk_4429ed3e0fea61f7656e476b,manually_identified_unsupported_or_misclassified_fields
claim_5c712fbfbbab89fbce343db2,S15,"[""origin_rules""]","{""legal_authority"": {""value"": ""19 U.S.C. 1304"", ""excerpt"": ""in accordance with the requirements of 19 U.S.C. 1304""}, ""conditions"": {""value"": ""assuming 19 CFR 102.13 is not applicable"", ""excerpt"": ""assuming 19 CFR 102.13 is not applicable""}}","[""marking_vs_origin_determination"", ""conditional_ruling"", ""snippet_only""]",marking_authority_not_origin_test,"The conditional ruling excerpt concerns packaging origin marking. 19 U.S.C. 1304 is cited as the marking authority, not a standalone test establishing a battery origin or a current duty.",False,quality-v1-2026-09-10,"{""origin_rules"": ""19 U.S.C. 1304"", ""legal_authority"": null, ""conditions"": null}","{""origin_rules"": null, ""legal_authority"": ""19 U.S.C. 1304"", ""conditions"": ""assuming 19 CFR 102.13 is not applicable""}",https://rulings.cbp.gov/ruling/559032,chunk_1e29c11796707a7f17168ae2,manually_identified_unsupported_or_misclassified_fields
