reference,doi,pub_type,substrate_polymer,mcp_carrier,antimicrobial,prep_method,manufacturing_temp_c,trigger_mechanism,rh_conditions_pct,storage_temp_c,mcp_loading,release_method,release_duration,kinetic_model,release_result,produce_tested,package_vol_mass,quality_outcomes,mechanical_props,barrier_props,antimicrobial_outcomes,limitations,scaleup_relevance,concept_relevance,work_id,year,venue,authors,source,oa_status,fulltext_source,fulltext_chars,screen_decision,extraction_model,extracted_at,n_full_text_cells,n_abstract_cells,n_not_stated,n_unverifiable,n_blanked,row_confidence
Zhaoxin Cao et al. (2024). Preparation of carvacrol β-cyclodextrin inclusions and 1-methylcyclopropene-α-CD coated paper by water-free method for postharvest preservation of peach.,10.21203/rs.3.rs-4251760/v1,original_research,filter paper,α-cyclodextrin,carvacrol,coating,45 °C,humidity_moisture,"30, 98 %","4, 25, 45 °C",,gravimetric,8 days,,"92%, 88%, 73%",peach,6.9 L; 1200 ± 50 g L; g,"decay index, weight loss rate, hardness, total soluble solid (TSS), L* and a*",,,inhibition of M. fructicola mycelial growth,,low,core,doi:10.21203/rs.3.rs-4251760/v1,2024,,Zhaoxin Cao; Jingyi Su; Yali Luo; Xinyu Wang; Zhiming Liu; Yanqi Chen; Yijing Zou; Wen Shen; Xuemei Ge,epmc,,oa_pdf:https://www.researchsquare.com/article/rs-4251760/latest.pdf,77564,include,qwen3.6:35b-a3b,1785488087.9393606,17,0,5,0,0,high
"Aaruba Maqbool et al. (2024). Studies on extending the shelf life of golden delicious apples through the application of 1-methylcyclopropene (1-MCP) and KMnO4 and using various packaging materials. International Journal of Advanced Biochemistry Research, 8, 627-634.",10.33545/26174693.2024.v8.i6h.1390,original_research,polymeric film,SmartFresh cards,,,,,,,,,,,,Golden Delicious apples,,colour,,,,,high,core,doi:10.33545/26174693.2024.v8.i6h.1390,2024,International Journal of Advanced Biochemistry Research,Aaruba Maqbool; Mushtaq A Beigh; Quraazah A Amin; Towseef A Wani; Shahnaz Parveen; Shazia Akhter,openalex,diamond,oa_pdf:https://www.biochemjournal.com/archives/2024/vol8issue6/PartH/8-6-71-432.pdf,58167,include,qwen3.6:35b-a3b,1785488344.4284058,6,0,16,0,0,medium
"Prisma Espinal-Hernández et al. (2021). Postharvest effects of 1-MCP and Chitosan/Oleic acid coating in Pitaya (Stenocereus griseus H.). Journal of the Professional Association for Cactus Development, 23, 43-57.",10.56890/jpacd.v23i.322,original_research,chitosan,sachet,chitosan,coating,,liquid_water,,,,,,,,Pitaya (Stenocereus griseus H.),,"weight loss, skin firmness, total soluble solids (TSS), ethylene production, rotting incidence",,,,lab-only conditions and manual processing; requires further optimization for industrial scale,low,adjacent_material,doi:10.56890/jpacd.v23i.322,2021,Journal of the Professional Association for Cactus Development,Prisma Espinal-Hernández; María Teresa Colinas-León; Ma. Carmen Ybarra-Moncada; Sergio M. Méndez-Zúñiga; Joel Corrales-García,openalex,diamond,oa_pdf:https://jpacd.org/jpacd/article/download/322/312,53313,include,qwen3.6:35b-a3b,1785488506.4081483,10,0,12,0,0,high
"Soesiladi Esti Widodo (2015). Effects of 1-Methylcyclopropene and Chitosan on the Fruit Shelf-Life and Qualities of Two Different Ripening Stages of ‘Cavendish’ Banana. Journal of Food and Nutrition Sciences, 3, 54.",10.11648/j.jfns.s.2015030102.20,original_research,chitosan,,,,,,,,,,,,,‘Cavendish’ banana,,"slow color development, fruit quality deterioration, decrease of fruit firmness, decrease of soluble solid content, increase of acidity",,,,,not_assessable,adjacent_material,doi:10.11648/j.jfns.s.2015030102.20,2015,Journal of Food and Nutrition Sciences,Soesiladi Esti Widodo,openalex,hybrid,oa_html:https://doi.org/10.11648/j.jfns.s.2015030102.20,16834,include,qwen3.6:35b-a3b,1785488778.4181647,5,0,17,0,0,medium
"Dorota Wichrowska et al. (2026). Antioxidant potential and storage stability of sweet cherries (Prunus avium L.) depending on the use of 1- methylcyclopropene in the innovative form of a sticker. Scientific Reports, 16, 13467.",10.1038/s41598-026-42369-3,original_research,,Vidre+ stickers,,,,,90–95 %,2–3 °C,"1, 2, 4 uL of 1-MCP per liter uL/L",,24 h h,,,sweet cherries (Prunus avium L.),"One Liter clamshells, 6 kg batches L, kg","weight loss, firmness, stem browning, visual index, dry matter, vitamin C, total polyphenols, anthocyanins, total soluble solids, reducing and total sugars, antioxidant capacity",,,,Lack of actual concentration measurement,low,low,doi:10.1038/s41598-026-42369-3,2026,Scientific Reports,Dorota Wichrowska; Andrzej Wolan; Tim Malefyt,epmc,gold,epmc_jats:PMC13111586,46799,include,qwen3.6:35b-a3b,1785488926.734344,11,0,10,1,1,high
"Xukai Hou et al. (2026). The impact of 1-MCP treatment combined with polyethylene film bag packaging on the quality of ‘Shannong Su’ pears during storage. Food Chemistry: Molecular Sciences, 12, 100358.",10.1016/j.fochms.2026.100358,original_research,polyethylene film bag,,,,,,90-95 %,4.00 ± 0.50 °C,1 μL/L,gc_fid,120 days,,inhibited ethylene production,'Shannong Su' pears,,"Firmness, ethylene release rate, total sugar content, titratable acid content, total antioxidant capacity, starch content, protopectin content, cellulose content",,,,The study is limited to a single pear cultivar and requires validation across other cultivars with different physiological traits.,high,core,doi:10.1016/j.fochms.2026.100358,2026,Food Chemistry: Molecular Sciences,Xukai Hou; Rui Zhang; Xinmeng Zhou; Lu Li; Sumin Qi; Nan Wang; Zongying Zhang; Xuesen Chen,epmc,gold,epmc_jats:PMC12870802,42605,include,qwen3.6:35b-a3b,1785489132.8830295,12,0,10,0,0,high
Dorota Wichrowska et al. (2025). Antioxidant Potential and Storage Stability of Sweet Cherries (Prunus Avium L.) Depending on the Use of 1- Methylcyclopropene.,10.21203/rs.3.rs-6546955/v1,original_research,,sticker,,,,,90–95 %,2–3 °C,"1, 2, 4 uL/L uL/L",,,,,sweet cherries (Prunus avium L.),1 Liter clamshells L,"weight loss, stem browning, firmness, fruit quality, dry matter, vitamin C, total polyphenols, anthocyanins, total soluble solids, reducing sugars, total sugars, antioxidant capacity (FRAP)",,,,"The study relies on theoretical dosing without verifying actual internal concentrations, and uses a small-scale laboratory setup with plastic bags rather than industrial packaging conditions.",medium,adjacent_mechanism,doi:10.21203/rs.3.rs-6546955/v1,2025,,Dorota Wichrowska; Andrzej Wolan; Tim Malefyt,"crossref,epmc",,oa_pdf:https://www.researchsquare.com/article/rs-6546955/latest.pdf,59851,include,qwen3.6:35b-a3b,1785489310.6657395,10,0,10,2,2,high
"H D Ariyanto et al. (2019). Effect of 1-Methylcyclopropene Release from Inclusion Complexes Powder on the Quality of Tomato by Short-Term Treatment. IOP Conference Series: Earth and Environmental Science, 309, 012065.",10.1088/1755-1315/309/1/012065,conference_paper,,α-cyclodextrin,1-MCP,,,,,,"5, 15 and 30 mg mg",,,,,tomatoes,,red colour index,,,,Small sample size and lab-only conditions; short-term storage evaluation.,low,core,doi:10.1088/1755-1315/309/1/012065,2019,IOP Conference Series: Earth and Environmental Science,H D Ariyanto; M N Bercis; H Yoshii,openalex,diamond,oa_html:https://doi.org/10.1088/1755-1315/309/1/012065,6308,include,qwen3.6:35b-a3b,1785489510.1275017,8,0,13,1,1,medium
"Cheng Zhao et al. (2026). Combined application of 1-methylcyclopropene and silicon-window modified atmosphere packaging delays cell wall degradation and softening in cold-stored ‘Saiwaihong’ apples. Food Chemistry, 523, 150131.",10.1016/j.foodchem.2026.150131,original_research,,,,,,,,,,,,,,'Saiwaihong' apples,,"firmness loss 21.50%, weight loss 6.23%",,,,,,core,doi:10.1016/j.foodchem.2026.150131,2026,Food Chemistry,Cheng Zhao; Jiefen Cui; Hao Wu; Xuanming Tang; Xueping Wang; Mengyu Ma; Ting Liu; Yanfang Pan; Jinkai Zheng,epmc,,oa_html:https://research.wur.nl/en/publications/combined-application-of-1-methylcyclopro,5791,include,qwen3.6:35b-a3b,1785489634.836603,3,0,18,1,1,medium
"Liying Yang et al. (2026). Efficient Preservation of Perishable Fruits by Erasable Metal‐Organic Frameworks. Advanced Science, 13, e19222.",10.1002/advs.202519222,original_research,carboxymethyl chitosan (CMCS),,clove essential oil (CEO),coating,,,75 %,25 °C,,,,,,emperor bananas,,,tensile strength: 30–35 MPa MPa,water-vapour transmission rate: 1104.99 ± 5.37 g m −2 day −1 g m −2 day −1,,high energy consumption and reliance on organic solvents,low,core,doi:10.1002/advs.202519222,2026,Advanced Science,Liying Yang; Jia Kong; Haoran Bai; Xiaojie Wu; Douxin Xiao; Ming Du; Peng Yang; Alideertu Dong,epmc,gold,epmc_jats:PMC12970200,46000,include,qwen3.6:35b-a3b,1785489738.8834412,11,0,9,2,2,high
