criterion,weight,weight_rationale,A_single_film,B_bilayer_coating,C_paper_insert,D_label_patch,E_coated_pad,F_compartmentalised
Scientific feasibility,3,Gate. An architecture that cannot work is worth nothing regardless of other scores.,3,4,5,4,4,3
Novelty potential,2,Matters but is subordinate to working and shipping; the brief explicitly warns against novelty for its own sake.,2,3,3,3,4,4
Patent-overlap risk (5 = low risk),3,Cellresin/Kimberly-Clark hold coated-substrate and laminate claims; overlap can end the project outright.,2,2,3,3,4,2
Number of ingredients (5 = fewest),2,Proxy for formulation and regulatory burden.,1,3,5,4,4,2
Number of manufacturing steps (5 = fewest),2,Each step is cost and a failure mode.,3,2,5,3,4,1
1-MCP retention through manufacture,3,The dominant technical risk: aqueous processing and heat destroy the payload before it ships.,1,3,5,4,4,3
Trigger reliability,3,A trigger that fires early or not at all makes the product useless.,2,4,4,3,5,4
Dose controllability,3,Headspace concentration must be reproducible across package volume and fruit mass; this is the likeliest differentiator.,2,3,4,5,4,4
Antimicrobial performance,1,Optional per the brief; secondary to ethylene control.,4,4,3,2,3,5
Mechanical performance,1,Only needs to survive converting and handling; not a load-bearing package.,2,3,4,4,3,3
Shelf stability before activation,3,If it cannot sit in a warehouse it cannot be sold.,1,3,4,4,4,3
Food-contact safety,2,Non-contact formats materially reduce the burden.,2,3,4,4,3,3
Sensory risk (5 = lowest),2,Essential-oil taint on peach or apple is a commercial kill.,2,4,4,4,3,3
Regulatory difficulty (5 = easiest),3,1-MCP is a registered plant-growth regulator; the pathway is the single biggest non-technical risk.,2,3,4,4,3,2
Raw-material cost (5 = cheapest),2,Must compete with SmartFresh at commodity scale.,2,3,5,5,4,2
Equipment availability,2,Using existing lines avoids capital expenditure.,3,3,5,4,3,2
Roll-to-roll compatibility,3,The brief requires an established industrial process; this is the scale-up gate.,3,4,5,4,3,2
Industrial scalability,3,Same gate viewed commercially.,2,3,5,4,3,2
Recyclability / biodegradability,2,Paper-based repulpable formats are a genuine and defensible advantage.,3,3,5,4,3,3
Time to working prototype (5 = fastest),2,Determines whether the project can be de-risked inside one season.,3,3,5,4,4,1
